train/explained_variance,time/fps,time/time_elapsed,train/learning_rate,train/n_updates,time/iterations,train/policy_loss,train/value_loss,time/total_timesteps,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
0.5077448785305023,318,1,0.0007,99,100,1.7274456024169922,7.146195411682129,500,-0.6930657029151917,,
-0.00977015495300293,,,0.0007,199,,1.800415277481079,8.214677810668945,1000,-0.6931442618370056,20.2,20.2
,322,3,,,200,,,1000,,,
0.08516502380371094,333,4,0.0007,299,300,1.676987886428833,7.1794114112854,1500,-0.6906739473342896,,
-0.0013276338577270508,,,0.0007,399,,1.4911062717437744,6.2224626541137695,2000,-0.6920109987258911,39.2,39.2
,304,6,,,400,,,2000,,,
0.047751009464263916,312,7,0.0007,499,500,-16.600299835205078,570.0810546875,2500,-0.6305201649665833,,
0.003272533416748047,,,0.0007,599,,1.1015617847442627,5.150208950042725,3000,-0.6699474453926086,122.8,122.8
,297,10,,,600,,,3000,,,
0.00109177827835083,311,11,0.0007,699,700,-8.405332565307617,225.72726440429688,3500,-0.6399742960929871,,
0.0002200007438659668,,,0.0007,799,,1.1880695819854736,4.067660331726074,4000,-0.6020537614822388,77.2,77.2
,293,13,,,800,,,4000,,,
0.00235903263092041,298,15,0.0007,899,900,0.7474032044410706,3.569723129272461,4500,-0.5903704762458801,,
-2.9802322387695312e-06,,,0.0007,999,,0.8302386999130249,3.0906834602355957,5000,-0.6385335922241211,76.6,76.6
,296,16,,,1000,,,5000,,,
-0.00010526180267333984,301,18,0.0007,1099,1100,0.6679813265800476,2.6482672691345215,5500,-0.6467853784561157,,
0.0013176798820495605,,,0.0007,1199,,-19.357271194458008,2159.767333984375,6000,-0.5086525678634644,151.4,151.4
,294,20,,,1200,,,6000,,,
-0.0010972023010253906,298,21,0.0007,1299,1300,0.6838836073875427,1.8446338176727295,6500,-0.6619024276733398,,
7.450580596923828e-06,,,0.0007,1399,,0.794571578502655,1.480413556098938,7000,-0.5767829418182373,389.4,389.4
,276,25,,,1400,,,7000,,,
-4.76837158203125e-06,279,26,0.0007,1499,1500,0.507937490940094,1.1595218181610107,7500,-0.6384795904159546,,
-0.00015306472778320312,,,0.0007,1599,,0.5025491118431091,0.8839340209960938,8000,-0.6267301440238953,574.2,574.2
,258,30,,,1600,,,8000,,,
-0.00026619434356689453,262,32,0.0007,1699,1700,0.28628239035606384,0.6455168128013611,8500,-0.6317247748374939,,
-0.00012290477752685547,,,0.0007,1799,,0.3086550831794739,0.444394588470459,9000,-0.5990471243858337,1054.2,1054.2
,234,38,,,1800,,,9000,,,
0.00035119056701660156,239,39,0.0007,1899,1900,0.3242350220680237,0.28721147775650024,9500,-0.6387432217597961,,
0.00012606382369995117,,,0.0007,1999,,0.23226094245910645,0.16405543684959412,10000,-0.600616991519928,4767.2,4767.2
,149,66,,,2000,,,10000,,,
-7.450580596923828e-05,154,68,0.0007,2099,2100,0.13176529109477997,0.07511361688375473,10500,-0.6602625846862793,,
-3.9577484130859375e-05,,,0.0007,2199,,0.07135980576276779,0.01654871739447117,11000,-0.557221531867981,279.2,279.2
,154,71,,,2200,,,11000,,,
0.0,158,72,0.0007,2299,2300,0.007316235452890396,0.00046133180148899555,11500,-0.581375002861023,,
0.015200257301330566,,,0.0007,2399,,0.0011922151315957308,5.4238362281466834e-06,12000,-0.5133113861083984,131.2,131.2
,160,74,,,2400,,,12000,,,
-0.0006798505783081055,164,76,0.0007,2499,2500,0.0007120518712326884,6.271642405408784e-07,12500,-0.3799284100532532,,
0.699999988079071,,,0.0007,2599,,7.588231528643519e-05,1.0395888594416647e-08,13000,-0.5373607277870178,330.0,330.0
,164,79,,,2600,,,13000,,,
3.045797348022461e-05,167,80,0.0007,2699,2700,0.0024753056932240725,2.1014793674112298e-05,13500,-0.5985116362571716,,
0.013751864433288574,,,0.0007,2799,,0.0016163056716322899,6.611866410821676e-06,14000,-0.5783650875091553,121.2,121.2
,169,82,,,2800,,,14000,,,
7.510185241699219e-06,172,84,0.0007,2899,2900,0.002135245595127344,1.8942471797345206e-05,14500,-0.4499684274196625,,
0.012132406234741211,,,0.0007,2999,,0.0002724072546698153,6.624148340961256e-07,15000,-0.5874126553535461,129.4,129.4
,173,86,,,3000,,,15000,,,
0.07340878248214722,176,87,0.0007,3099,3100,0.00013151680468581617,6.406335018027676e-08,15500,-0.6489861607551575,,
0.8778604120016098,,,0.0007,3199,,0.00010847942030522972,3.4272670035306874e-08,16000,-0.6292586326599121,167.2,167.2
,178,89,,,3200,,,16000,,,
0.2888888716697693,180,91,0.0007,3299,3300,3.2204625313170254e-05,4.470348535789981e-09,16500,-0.6271616816520691,,
0.9575000032782555,,,0.0007,3399,,-9.67427058640169e-06,5.355104693016699e-10,17000,-0.595870852470398,270.8,270.8
,180,94,,,3400,,,17000,,,
8.940696716308594e-07,182,95,0.0007,3499,3500,0.0016428226372227073,1.423245976184262e-05,17500,-0.5371037721633911,,
0.39555561542510986,,,0.0007,3599,,-3.273680340498686e-05,3.678724214140061e-09,18000,-0.6398711204528809,382.2,382.2
,181,98,,,3600,,,18000,,,
-0.003875732421875,184,100,0.0007,3699,3700,0.0007332050008699298,6.80719949741615e-06,18500,-0.5317999720573425,,
2.5033950805664062e-05,,,0.0007,3799,,0.002082619583234191,1.8806731532095e-05,19000,-0.528619647026062,1040.6,1040.6
,176,107,,,3800,,,19000,,,
nan,178,108,0.0007,3899,3900,1.4642087080574129e-06,8.149072389107559e-11,19500,-0.42748385667800903,,
-0.1758737564086914,,,0.0007,3999,,0.0006515058921650052,3.478420012470451e-06,20000,-0.612162709236145,1018.6,1018.6
,172,115,,,4000,,,20000,,,
